Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
64	-24.5	30.320234	-6.0	-100.0	0.0	0.8666667	0.8333333	-6.0	0.0	-6.0	-6.0	23.5	6.0	8	-5.008702	4.483209	-0.06491841	-18.48177	-5.008203	4.481065	-0.05995944	-18.411886	-3.5323274	1.0093421	1.7587872	-10.885508	4.362633	0.62955153	13204.416040420532
65	-19.833334	22.553762	-6.0	-100.0	0.0	0.93333334	0.9	-100.0	0.0	-100.0	-100.0	18.833334	100.0	7	-5.128633	4.5894604	-0.07943994	-18.68015	-5.12886	4.585855	-0.07407173	-18.545877	-3.535872	1.0015905	1.1233826	-10.641493	4.4846225	0.65381014	13426.046376943588
66	-23.3	26.67102	-6.0	-100.0	0.0	0.9	0.8666667	-4.0	0.0	-4.0	-4.0	22.3	4.0	24	-5.2668824	4.7087817	-0.0781657	-18.78984	-5.2665424	4.706767	-0.06888982	-18.838423	-3.5659733	0.97837186	0.7129955	-10.421035	4.636853	0.7037741	13648.99802494049
67	-23.066668	26.977688	-6.0	-100.0	0.0	0.9	0.73333335	-6.0	0.0	-6.0	-6.0	22.066668	6.0	18	-5.4191837	4.854401	-0.078448355	-18.52005	-5.4190526	4.850831	-0.078405544	-18.743357	-3.5678227	0.98565257	1.0158224	-11.530226	4.7982745	0.76185435	13871.07488489151
68	-17.433332	7.3288627	-6.0	-34.0	0.0	1.0	0.93333334	-6.0	0.0	-6.0	-6.0	16.433332	6.0	25	-5.592095	5.01738	-0.08207276	-19.20332	-5.5921636	5.014839	-0.07652609	-18.930307	-3.5448308	1.0071349	1.609685	-10.8773155	4.970682	0.8156799	14053.205513477325
69	-22.233334	18.091772	-6.0	-100.0	0.0	0.96666664	0.8	-8.0	0.0	-8.0	-8.0	21.233334	8.0	26	-5.6998057	5.1774316	-0.09063567	-19.3549	-5.6995745	5.1743417	-0.071947575	-19.00405	-3.529565	1.0245452	2.1668744	-11.501997	5.0788755	0.83135337	14268.777213335037
70	-25.166666	21.167717	-6.0	-100.0	0.0	0.93333334	0.8666667	-6.0	0.0	-6.0	-6.0	24.166666	6.0	16	-5.775085	5.337808	-0.099525824	-20.384214	-5.77572	5.3353105	-0.06554507	-20.316816	-3.5105603	1.0368258	1.9932728	-11.867971	5.144232	0.81768394	14505.764293193817
71	-24.833334	22.704014	-7.0	-100.0	0.0	0.93333334	0.8333333	-7.0	0.0	-7.0	-7.0	23.833334	7.0	26	-5.8353457	5.463162	-0.09657374	-20.577045	-5.83467	5.46068	-0.06891337	-20.30211	-3.4535046	1.0993354	3.7552814	-11.653986	5.189792	0.77202827	14741.726145267487
72	-23.333334	17.944977	-6.0	-100.0	0.0	0.96666664	0.8666667	-7.0	0.0	-7.0	-7.0	22.333334	7.0	24	-5.839989	5.535622	-0.08796777	-22.134293	-5.8396034	5.53411	-0.06298131	-22.234928	-3.4236262	1.1300007	4.3317018	-12.592003	5.181749	0.6691283	14964.803824663162
73	-17.033333	10.451422	-6.0	-43.0	0.0	1.0	0.96666664	-7.0	0.0	-7.0	-7.0	16.033333	7.0	12	-5.83964	5.6028123	-0.08854602	-23.82099	-5.8401113	5.6018467	-0.063387096	-23.906584	-3.4026837	1.1425927	3.3644109	-13.088978	5.1767764	0.6093724	15144.674724578857
74	-22.6	17.499716	-7.0	-100.0	0.0	0.96666664	0.8333333	-6.0	0.0	-6.0	-6.0	21.6	6.0	8	-5.8378086	5.6600056	-0.08660056	-24.083359	-5.837745	5.6590867	-0.058504015	-25.26576	-3.403621	1.1370574	3.8437204	-11.165222	5.1781697	0.5927423	15364.332025527954
75	-19.866667	19.355848	-6.0	-100.0	0.0	0.96666664	0.96666664	-6.0	0.0	-6.0	-6.0	18.866667	6.0	18	-5.7871265	5.653762	-0.077774	-25.69436	-5.7867556	5.652504	-0.06470169	-25.30691	-3.373301	1.1496255	5.0813313	-11.298585	5.1201677	0.5578776	15565.197330474854
76	-14.633333	16.408298	-6.0	-100.0	0.0	0.96666664	0.9	-4.0	0.0	-4.0	-4.0	13.633333	4.0	7	-5.73844	5.627614	-0.07870023	-26.23821	-5.738005	5.626776	-0.06349228	-26.912788	-3.3619196	1.1387655	3.2857018	-10.395958	5.0751524	0.56248456	15729.692637681961
